character	confusables	hypothesis
あ	おめ	Omit the crossbar or upright; open the crossing in the lower loop.
い	りこ	Drop either stroke; align both strokes too evenly or rotate their placement.
う	つら	Omit the upper mark; flatten or reverse the lower curve.
え	んれ	Omit the upper mark; lose the angular turn before the rightward tail.
お	あむ	Omit the detached right mark; open or flatten the lower loop.
か	や	Omit the detached right stroke; lose the bend or hook of the main stroke.
き	さち	Omit one crossbar; mirror the lower curve. Preserve ordinary pen lifts.
く	へし	Reverse the bend horizontally; flatten its angle or rotate the entire shape.
け	は	Omit the crossbar or left stroke; shorten the right descending stroke.
こ	いに	Omit one horizontal stroke; rotate or overconnect the pair.
さ	きち	Mirror the lower curve; omit the crossbar. Do not judge joined forms by count alone.
し	つく	Mirror the lower hook; shorten it into an almost straight line.
す	む	Lose the internal loop; truncate the descending tail or omit the crossbar.
せ	さも	Omit either upright; shorten the baseline until contacts are lost.
そ	てろ	Flatten the middle bend; omit the final curve. Allow different upper-stroke segmentation.
た	なに	Omit either right-hand mark; lose the cross on the left.
ち	さら	Mirror the lower curve; omit the crossbar or close the curve into a loop.
つ	しう	Mirror the main curve; flatten the upper arc or truncate the return.
て	そ	Omit the upper shoulder; flatten or reverse the lower curve.
と	う	Omit the short upper stroke; move it into the wrong side of the lower curve.
な	たは	Omit the upper-right mark; flatten the lower loop or lose the left cross.
に	こけ	Omit the left stroke or one right horizontal; compress the right pair together.
ぬ	めね	Omit the terminal loop; alter the central crossing or reverse the terminal curl.
ね	れわぬ	Omit the terminal loop; simplify the right-hand section into another kana.
の	め	Open or reverse the inner turn; retrace the loop without changing its identity.
は	ほけ	Omit the crossbar; lose the loop or move its stem relative to the bar.
ひ	ゆ	Flatten the bowl; reverse one shoulder or collapse one side.
ふ	う	Omit a side mark or the upper mark; merge detached parts excessively.
へ	く	Mirror unequal arms; flatten the peak or rotate the bend.
ほ	はま	Omit one horizontal bar or the left stroke; distort the lower loop.
ま	ほも	Omit one bar; open the lower loop or misplace the vertical crossing.
み	めむ	Lose the left loop; omit the final crossing stroke or shorten the right extension.
む	すお	Omit the right mark; open the loop or straighten the final return.
